SNo,Area,Area (Goal undefined),Population living below National Poverty line (%) (Goal 1),Households with any usual member covered by any health scheme or health insurance (%) (Goal 1),Persons provided employment as a percentage of persons who demanded employment under MGNREGA (%) (Goal 1),Proportion of the population (out of total eligible population) receiving social protection benefits under Maternity Benefit (%) (Goal 1),Households living in kutcha houses (rural + urban) (%) (Goal 1),Ratio of rural households covered under public distribution system to rural households where monthly income of highest earning member is less than Rs.5000 (Goal 2),Children under age 5 years who are stunted (%) (Goal 2),Pregnant women aged 15-49 yrs who are anaemic (11.0g/dl) (%) (Goal 2),Children aged 6-59 months who are anaemic (Hb<11.0 g/dl) (%) (Goal 2),Children aged 0-4 years who are underweight (%) (Goal 2),Rice wheat and coarse cereals produced annually per unit area (Kg/Ha) (Goal 2),Gross Value Added in Agriculture per worker (Goal 2),Maternal Mortality Ratio (Goal 3),Proportion of institutional deliveries (%) (Goal 3),Under-five mortality rate per 1000 live births (Goal 3),Fully immunised children in the age group 0-5 years (%) (Goal 3),Total case notification rate of Tuberculosis per 1 lakh population (Goal 3),HIV Incidence per 1000 uninfected population (Goal 3),Currently married women aged 15-49 years who use any modern method of family planning (%) (Goal 3),Total physicians nurses and midwives per 10000 population (Goal 3),Adjusted Net Enrolment Ratio at Elementary (Class 1-8) and Secondary (Class 9-10) education (%) (Goal 4),Children in the age group of 6-13 who are out of school (%) (Goal 4),Average Annual Drop-out rate at secondary level (%) (Goal 4),Percentage of students in grade III V VIII and X achieving at least a minimum proficiency level in terms of nationally defined learning outcomes to be attained by pupils at the end of each of above grades (Goal 4),Gross Enrolment Ratio in Higher education (18-23 years) (%) (Goal 4),Gender Parity Index for Higher education (18-23 years) (Goal 4),Disabled children (5-19 Years) attending educational institution (%) (Goal 4),Proportion of trained teacher by education level (elementary secondary) (%) (Goal 4),Percentage of schools with Pupil Teacher ratio less than/equal to 30 (%) (Goal 4),Sex Ratio at Birth (female per 1000 male) (Goal 5),Female to male ratio of average wage/salary earnings received during the preceding calendar month among regular wage salaried employees (rural+urban) (Goal 5),Rate of crimes against women per 100000 female population (Goal 5),Married women aged 15-49 who have ever experienced spousal violence (%) (Goal 5),Proportion of sexual crime against girl children to total crime against children during the calendar year (%) (Goal 5),Seats won by women in the general elections to state legislative assembly (%) (Goal 5),Female labour force participation rate (LFPR) (%) (Goal 5),Operational land holdings - gender wise (%) (Goal 5),Households having improved source of drinking water (%) (Goal 6),Rural households with individual household toilets (%) (Goal 6),Urban households with individual household toilet (%) (Goal 6),Districts verified to be Open Defecation Free (%) (Goal 6),Proportion of schools with separate toilet facility for girls (%) (Goal 6),Percentage of industries (17 category of highly polluting industries/ grossly polluting/ red category of industries complying with waste water treatment as per CPCB norms (Goal 6),Blocks over-exploited (%) (Goal 6),Households electrified (%) (Goal 7),Households using clean cooking fuel (LPG) (%) (Goal 7),Annual growth rate of Net Domestic Product (NDP) per capita (Goal 8),Ease of doing business score (EODB) (Goal 8),Unemployment rate (%) (Goal 8),Labour Force Participation Rate (%) (Goal 8),Number of banking outlets per 100000 population (Goal 8),Households with a bank account (%) (Goal 8),Proportion of women account holders under PMJDY (Goal 8),Targeted habitations connected by all-weather roads under Pradhan Mantri Gram Sadak Yojana (%) (Goal 9),Manufacturing employment as a proportion of total employment (%) (Goal 9),Number of mobile connections per 100 persons in rural and urban area (Mobile Tele density) (Goal 9),Number of Internet Subscribers per 100 population (Goal 9),Growth rates of household expenditure per capita among the bottom 40 per cent of the population in rural India (%) (Goal 10),Growth rates of household expenditure per capita among the bottom 40 per cent of the population in urban India (%) (Goal 10),Gini Coefficient of Household Expenditure in Rural India (Goal 10),Gini Coefficient of Household Expenditure in Urban India (Goal 10),Proportion of seats held by women in Panchayati Raj Institutions (%) (Goal 10),Proportion of SC/ST persons in state legislative assemblies (%) (Goal 10),Ratio of transgender labour force participation rate to male labour force participation rate (Goal 10),Scheduled Caste Sub Plan fund utilised (%) (Goal 10),Tribal Sub Plan fund utilised (%) (Goal 10),Houses completed under PMAY as a percentage of net demand assessment for houses (Goal 11),Urban households living in slums (%) (Goal 11),Wards with 100% door to door waste collection (%) (Goal 11),Waste processed (%) (Goal 11),Installed sewage treatment capacity as a proportion of sewage generated in urban areas (Goal 11),Groundwater withdrawal against availability (%) (Goal 12),Percentage use of nitrogen fertilizer out of total NPK (Nitrogen Phosphorous Potassium) (Goal 12),Per capita hazard waste generated (Goal 12),Ratio of processed quantity of hazard waste sent to recycle to hazard waste generated (Goal 12),Municipal Solid Waste (MSW) treated against MSW generated (%) (Goal 12),Installed Capacity of Grid Interactive Bio Power per 100000 population (Goal 12),Wards with 100% source segregation (%) (Goal 12),Number of human lives lost per 10000000 population due to extreme weather events (Goal 13),Renewable share of installed generating capacity (%) (Goal 13),Co2 saved from LED bulbs per 1000 population (Goal 13),Installed capacity of solar power as proportion of installed grid interactive renewable power (%) (Goal 13),Percentage increase in use of nitrogen fertilizers in the coastal states (Goal 14),Coastal Water Quality Index (Goal 14),Percentage increase in area under mangroves (Goal 14),Average marine acidity (pH) measured at representative sampling stations in the shore zone (Goal 14),Percentage of available potential area developed under coastal aquaculture (Goal 14),Total land area covered under forest (%) (Goal 15),Tree cover as a proportion of geographical area (%) (Goal 15),Combined Indicator (15.1+15.2) (Goal 15),Decadal change in extent of water bodies within forests from 2005 to 2015 (%) (Goal 15),Percentage increase in area of desertification (Goal 15),Number of wildlife crime cases detected and reported anually (Goal 15),Reported murders per 1 lakh population (Goal 16),Proportion of population subjected to physical psychological or sexual violence in the previous 12 months (Goal 16),Reported cognizable crimes against children per 1 lakh population (Goal 16),Number of victims of human trafficking per 100000 population by sex age and form of exploitation (Goal 16),Estimated number of courts per 10 Lakh persons (Goal 16),Cases Reported under Prevention of Corruption Act & Related Sections of IPC per 100000 population (Goal 16),Births registered (%) (Goal 16),Population covered under Aadhaar (%) (Goal 16)
1,"Target","Target",10.95,100,100,100,0,1.29,2.5,25.15,14,0.9,5033.34,1.36,70,100,25,100,0,0,100,45,100,0,10,100,50,1,100,100,100,954,1,0,0,0,50,100,50,100,100,100,100,100,100,0,100,100,7.5,100,0,100,28.1,100,0.5,100,20,100,100,15.59,11.27,0,0,50,"-",1,100,100,100,0,100,100,1,70,57,0,1,100,2.11,100,0,40,165.29,57,"-","-","-","-","-","-","-",33,0,0,0,1.1,0,0,0,33.76,0.16,100,100
2,"India","India",21.92,28.7,85.26,36.4,4.2,1.01,34.7,50.3,40.5,33.4,2516.67,0.68,122,54.7,50,59.2,160,0.07,47.8,38,75.83,2.97,19.89,71.03,26.3,1,61.18,78.84,70.43,896,0.78,57.9,33.3,59.97,8.32,17.5,13.96,95.5,100,97.22,88.41,97.43,87.62,18.01,99.99,61.4,5.66,67.23,6,49.8,12.48,99.99,0.53,69.89,12.13,88.41,48.48,13.61,13.35,0.283,0.363,46.14,28.33,0.64,77.67,82.98,31.01,5.41,90.99,56,0.38,63.33,64.49,0.0057,0.04,20.75,0.75795,67.76,16,35.22,28.74,24.3,0.35,"-",3.82,"-",11,21.54,2.85,24.39,18.24,1.98,239,2.22,33.12,28.9,0.46,12.83,0.32,86,88.8
3,"Andaman & Nicobar Islands","Andaman & Nicobar Islands",1,5.7,84.82,1.4,0,0.49,"-",61.4,"-","-","-",2.98,"-",56.5,13,63.2,144,0.15,48,"-",77.49,2.12,7.36,69.1,23.2,1.29,66.64,21.05,99.51,"-",0.92,47.7,19.6,100.78,"-",25.4,0.00275,98.1,100,87.5,100,100,55.77,0,"-",81.8,10.63,1.25,15.8,57.9,12.59,100,0.49,0,6.13,"-","-",8.96,25.25,"-","-","-","-","-","-",155.4,3.27,3.72,100,65,0,2.74,36.88,"-","-",7.14,"-",75,"-",30.34,71.56,69.9,"-","-","-","-","-",81.73,0.42,82.15,-15.14,"-",2,1.58,20,87.5,0,28.05,1.23,75.55,90.83
4,"Andhra Pradesh","Andhra Pradesh",9.2,74.6,91.28,17.4,3.2,0.77,31.5,52.9,39.6,35.5,3917.5,0.59,74,66.9,41,73.6,176,0.13,69.4,92,63.5,0.91,15.71,76.51,32.4,0.81,61.55,49.57,85.99,916,0.68,68.9,45.2,63.08,8,34.4,1.7632,97.4,100,129.1,100,99.8,95.14,6.72,100,81.3,10.07,98.3,4.5,59.9,13.64,100,0.57,73,9.73,95.76,54.53,27.32,16.3,0.245,0.301,50,20.57,0.99,57.08,60.42,24.89,12.04,100,48,0.09,44.15,58.26,0.0053,0.0527,7.76,0.92317,90.94,6,39.74,42.77,33.99,-7.43,49,10.08,8.1,28.3,17.27,2.3,19.57,50.64,1.37,10,2.02,15.9,15.3,0.65,31.4,0.38,95.67,90.78
5,"Arunachal Pradesh","Arunachal Pradesh",34.67,58.3,93.39,20.5,29,0.92,28,33.8,28.3,16,"-",1.32,"-",45.3,33,41.3,216,0.05,26.6,24,79.02,2.92,29.93,58.79,29.7,0.99,61.92,97.98,88.87,"-",0.72,53.4,34.8,55.49,3.33,10.7,0.00962,98.8,100,79.52,100,96.08,80.38,0,100,64.7,5.08,0,5.8,45,12.63,100,0.55,140,1.53,7.42,25.88,-8.63,-0.81,0.346,0.365,33.07,98.33,1.39,"-","-",26.16,1.12,100,0,0,0.28,0,"-","-",0,"-",14.67,362,75.12,38.81,2.22,"-","-","-","-","-",79.96,0.96,80.92,-33.51,12.62,2,5.94,48.05,29.5,0,"-",0.83,192.55,78.86
6,"Assam","Assam",31.98,10.4,87.3,66.1,2.4,1.09,32.4,44.8,33.7,29.4,1663,0.58,229,53,57,46.1,126,0.04,37,23,80.65,2.88,27.6,76.74,18.7,0.95,51.14,18.52,75.33,915,0.74,143.6,26.6,43.04,6.35,9.8,0.03162,91.4,100,100.21,84.85,83.38,90.01,0,100,59.2,6.24,84.75,7.9,47.5,8.93,99.96,0.59,58.92,6.65,69.44,34.38,5.3,8.77,0.221,0.326,50,19.05,0.6,80.72,88.48,18.92,0.63,62.21,41,0,11.25,66.46,0.0009,"-",0,"-",31.05,49,30.79,20.98,7.74,"-","-","-","-","-",35.83,1.91,37.74,22.48,25.23,28,3.47,78.58,41.6,0.95,8.13,0.08,103.89,14.57
7,"Bihar","Bihar",33.74,12.3,77.25,53.9,8.2,1.2,42,58.3,43.7,38.7,2748.33,0.26,165,42.5,58,48.1,87,0.08,23.2,19,77.04,4.95,39.73,72.53,13.6,0.79,58.46,24.53,21.75,900,0.82,28.8,45.2,47.82,11.52,2.8,1.57898,99.9,100,126.56,34.21,90.14,97.24,2.25,100,49.4,8.81,81.91,7,38.2,7,100,0.54,68.51,8.93,59.97,27.64,26.27,10.73,0.198,0.291,51.64,16.46,0.59,85.42,89.59,21.42,1.19,87.95,51,0.07,45.76,69.8,0.0001,0.0743,0,0.11296,24.87,49,8.67,19,33.1,"-","-","-","-","-",7.75,2.4,10.15,-15.38,5.35,"-",2.66,48.08,12,0.43,12.1,0.12,60.74,83.11
8,"Chandigarh","Chandigarh",21.81,21.3,"-",13.7,0,0.86,"-","-","-","-","-",2.78,"-",111.4,38,64.9,496,0.18,58.2,1,78.74,0.44,0,79.19,50.6,1.54,63.21,99.42,82,"-",0.81,59.8,22.5,25.67,"-",19.1,0,100,100,142.86,100,100,100,0,"-",88.9,10.32,11.54,9,51.5,23.37,100,0.44,"-",15.15,"-","-",-20.6,-19.97,"-","-","-","-","-",100,"-",2068.25,9.01,100,89,1.92,89,0,0.0016,0.2842,67.57,"-",92.31,"-",68.5,28.75,26.67,"-","-","-","-","-",18.91,8.77,27.68,2.76,"-",4,1.32,25.4,68.8,0,33.6,0.11,126.32,98.67
9,"Chhattisgarh","Chhattisgarh",39.93,68.5,79.91,66.2,2.1,0.93,35.4,41.5,40.8,40,1603,0.4,141,55.6,64,65.2,148,0.06,54.5,16,77.04,3.75,24.23,69.24,18.6,1.06,59.62,55.24,82.89,961,0.66,61.1,38.1,76.15,14.44,36.5,0.37532,95.2,100,108.35,100,99.46,78.4,0,99.67,40.6,3.93,97.31,3.3,64.5,10.86,99.98,0.55,60.13,4.4,"-","-",13.42,-14.94,0.234,0.364,55.14,43.33,0.81,71.32,87.36,24.39,7.43,100,84,0,44.43,57.76,0.0025,0.0527,8.86,0.86065,100,"-",5.45,41.89,30.53,"-","-","-","-","-",41.09,2.84,43.93,9.06,1.6,27,3.5,32.34,64.9,0.43,12.09,0.1,128.92,92.81
10,"Dadra and Nagar Haveli","Dadra and Nagar Haveli",39.31,30.8,"-",2.6,0.1,1.22,"-",67.9,"-","-","-","-","-",62.3,42,62,192,0.14,37.9,"-",76.79,1.49,27.96,74.45,9.3,1.7,59.85,47.96,88.16,"-",0.75,9.9,36.3,75,"-",26.4,0.00206,99.6,100,67.8,100,100,86.84,0,"-",86.6,"-",21.88,0.4,66.6,15.58,100,0.42,"-",57.36,"-","-",-4.83,14.7,"-","-",34.56,"-","-","-","-",40.87,"-",100,25,0,31.34,58.98,"-","-",0,"-",100,"-",1.92,37.3,100,"-","-","-","-","-",42.16,6.11,48.27,0.58,"-","-",0.68,12.05,24.4,0,7.32,0,86.23,96.26
