                           State/UT wise Aadhaar Saturation                                                                                                                                      
"                                  31st May, 2020"
                                      Total Population Numbers of  Aadhaar  Saturation %
S.No           State Name
                                      (Projected 2020)  assigned (LIVE)  (LIVE)
 1  Delhi                                    18710922         21777954     116.4%
 2  Haryana*                                 28204692         28903190     102.5%
 3  Kerala                                   35699443         36332457     101.8%
 4  Himachal Pradesh*                         7451955          7534930     101.1%
 5  Punjab*                                  30141373         30267853     100.4%
 6  Telangana                                39362732         39335333      99.9%
 7  Goa*                                      1586250          1581517      99.7%
 8  Uttarakhand                              11250858         11050259      98.2%
 9  Chandigarh*                               1158473          1128044      97.4%
10  Gujarat*                                 63872399         61951561      97.0%
11  Lakshadweep                                 73183            70165      95.9%
12  Dadra & Nagar Haveli and Daman & Diu*      615724           582467      94.6%
13  Tamil Nadu                               77841267         72128625      92.7%
14  Chhattisgarh                             29436231         27272270      92.6%
15  A & N Islands*                             417036           385537      92.4%
16  Maharashtra                             123144223        113816566      92.4%
17  Karnataka                                67562686         62311712      92.2%
18  West Bengal                              99609303         91593510      92.0%
19  Odisha                                   46356334         42561910      91.8%
20  Puducherry                                1413542          1280759      90.6%
21  Andhra Pradesh*                          53903393         48751395      90.4%
22  Jharkhand                                38593948         34523615      89.5%
23  Mizoram                                   1239244          1090074      88.0%
24  Tripura                                   4169794          3661498      87.8%
25  Madhya Pradesh                           85358965         74466650      87.2%
26  Uttar Pradesh*                          237882725        203462858      85.5%
27  Rajasthan                                81032689         68747446      84.8%
28  Sikkim                                     690251           576571      83.5%
29  Bihar                                   124799926        102701798      82.3%
30  Manipur                                   3091545          2513331      81.3%
31  Arunachal Pradesh                         1570458          1227897      78.2%
32  Jammu Kashmir                            13606320         10473112      77.0%
33  Ladakh                                     289023           213280      73.8%
34  Nagaland                                  2249695          1262326      56.1%
35  Meghalaya                                 3366710          1004401      29.8%
36  Assam                                    35607039          8028780      22.5%
               TOTAL                   1371360350           1214571648      88.6%
,
    *As per data provided by State 
                       Aadhaar Saturation in 0 < 5 Years Age band                                                                                                        
"                                  31st May, 2020"
                                     Population  (0 < 5Y) Numbers of  Aadhaar  Saturation %
S.No           State Name
                                      (Projected 2020)  assigned (LIVE)  (LIVE)
 1  Haryana*                                  2396840          1767352      73.7%
 2  Himachal Pradesh*                          571930           341563      59.7%
 3  Chandigarh*                                 89005            47370      53.2%
 4  Goa*                                       110064            47881      43.5%
 5  Dadra & Nagar Haveli and Daman & Diu*       59683            25793      43.2%
 6  Andhra Pradesh*                           3842986          1607249      41.8%
 7  Uttarakhand                               1028543           403767      39.3%
 8  A & N Islands*                              31561            12133      38.4%
 9  Punjab*                                   2297072           869470      37.9%
10  Chhattisgarh                              2928692          1029211      35.1%
